9089888207,yadvendrakr.roy1@yahoo.in,Data Science,25000
9089888208,yadvendrakr.roy2@yahoo.in,Data Science,25600
9089888209,yadvendrakr.roy3@yahoo.in,Data Science,35000
9089888210,yadvendrakr.roy4@yahoo.in,Data Science,52000
9089888211,yadvendrakr.roy5@yahoo.in,Data Science,45000
9089888212,yadvendrakr.roy6@yahoo.in,Data Science,58000
9089888213,yadvendrakr.roy7@yahoo.in,Data Science,85000
9089888214,yadvendrakr.roy8@yahoo.in,Data Science,65000
9089888215,yadvendrakr.roy9@yahoo.in,Data Science,25800
9089888216,yadvendrakr.roy10@yahoo.in,Data Science,56000
9089888217,yadvendrakr.roy11@yahoo.in,Data Science,42000
9089888218,yadvendrakr.roy12@yahoo.in,Data Science,68920
9089888219,yadvendrakr.roy13@yahoo.in,Data Science,28000
9089888220,yadvendrakr.roy14@yahoo.in,Data Science,30000
9089888221,yadvendrakr.roy15@yahoo.in,Data Science,25000
